$Date;$Time;FH11_Z4_TEMP_SP;FH11_Z4_TEMP_PV;FH11_Z3_TEMP_PV;FH11_Z3_TEMP_MT;FH11_Z3_TEMP_MB;FH11_Z4_TEMP_MB;FH11_Z4_TEMP_MM;FH11_Z4_TEMP_MT;FH11_Z4_MIX_VLV_POS_PV;FH11_Z4_MIX_PRES_PV;FH11_Z4_MIX_PRES_LL;FH11_Z4_MIX_PRES_HL;FH11_PULL;FU_PULL
08/17/17;10:36:55;1157;1156.8;1158.536;1158.536;1162.442;1161.285;1159.549;1156.8;23.64005;1.634838;0.6;6;46.01521;90.89281
08/17/17;10:36:56;1157;1156.655;1158.536;1158.536;1162.442;1161.285;1159.549;1156.655;23.64005;1.631944;0.6;6;46.01521;90.89281
08/17/17;10:36:57;1157;1156.8;1158.536;1158.536;1162.442;1161.285;1159.549;1156.8;23.64005;1.626157;0.6;6;46.01521;90.89281
08/17/17;10:36:58;1157;1156.655;1158.536;1158.536;1162.153;1161.285;1159.549;1156.655;23.64005;1.623264;0.6;6;46.01521;90.89281
08/17/17;10:36:59;1157;1156.655;1158.391;1158.391;1162.153;1161.285;1159.549;1156.655;23.64005;1.634838;0.6;6;46.01521;90.89281
08/17/17;10:37:00;1157;1156.655;1158.391;1158.391;1162.153;1161.285;1159.549;1156.655;23.64005;1.62037;0.6;6;46.01521;90.89281
08/17/17;10:37:01;1157;1156.655;1158.391;1158.391;1162.153;1161.285;1159.549;1156.655;23.64005;1.62037;0.6;6;46.01521;90.89281
08/17/17;10:37:02;1157;1156.655;1158.536;1158.536;1162.442;1161.285;1159.549;1156.655;23.64005;1.637731;0.6;6;46.01521;90.89281
08/17/17;10:37:03;1157;1156.655;1158.391;1158.391;1162.153;1161.285;1159.549;1156.655;23.64005;1.634838;0.6;6;46.01521;90.89281
08/17/17;10:37:04;1157;1156.8;1158.536;1158.536;1162.153;1161.14;1159.549;1156.8;23.64005;1.634838;0.6;6;46.01521;90.89281
08/17/17;10:37:05;1157;1156.655;1158.391;1158.391;1162.153;1161.14;1159.259;1156.655;23.64005;1.62037;0.6;6;46.01521;90.89281
08/17/17;10:37:06;1157;1156.655;1158.391;1158.391;1162.153;1161.14;1159.259;1156.655;23.64005;1.623264;0.6;6;46.01521;90.89281
08/17/17;10:37:07;1157;1156.655;1158.391;1158.391;1162.153;1161.285;1159.259;1156.655;23.64005;1.62037;0.6;6;46.01521;90.89281
08/17/17;10:37:08;1157;1156.8;1158.391;1158.391;1162.153;1161.285;1159.259;1156.8;23.64005;1.637731;0.6;6;46.01521;90.89281
08/17/17;10:37:09;1157;1156.8;1158.391;1158.391;1162.008;1161.285;1159.259;1156.8;23.64005;1.631944;0.6;6;46.01521;90.89281
08/17/17;10:37:10;1157;1156.655;1158.391;1158.391;1162.008;1161.285;1159.259;1156.655;23.64005;1.631944;0.6;6;46.01521;90.89281
08/17/17;10:37:11;1157;1156.8;1158.391;1158.391;1162.008;1161.285;1159.259;1156.8;23.64005;1.61169;0.6;6;46.01521;90.89281
08/17/17;10:37:12;1157;1156.655;1158.391;1158.391;1162.008;1161.285;1159.259;1156.655;23.64005;1.634838;0.6;6;46.01521;90.89281
08/17/17;10:37:13;1157;1156.8;1158.391;1158.391;1162.008;1161.14;1159.259;1156.8;23.64005;1.617477;0.6;6;46.01521;90.89281
08/17/17;10:37:14;1157;1156.8;1158.391;1158.391;1162.008;1161.14;1159.115;1156.8;23.64005;1.634838;0.6;6;46.01521;90.89281
08/17/17;10:37:15;1157;1156.655;1158.391;1158.391;1162.008;1161.285;1159.259;1156.655;23.64005;1.626157;0.6;6;46.01521;90.89281
