$Date;$Time;FH11_Z1_TEMP_SP;FH11_Z1_TEMP_PV;WE_ZR_TEMP_PV;FH11_Z2C_TEMP_PV;FH11_Z1_MIX_PRES_PV;FH11_Z1_MIX_VLV_POS_PV;FH11_PULL;FH11_Z1A_CD_POS_PV;FH11_Z1BL_CD_POS_PV;FH11_Z1BR_CD_POS_PV
08/17/17;11:27:23;1176;1176.837;1269.213;1165.625;1.458333;31.22106;46.01521;42.15857;85.53241;14.00463
08/17/17;11:27:24;1176;1176.837;1269.068;1165.48;1.403356;30.93171;46.01521;42.21644;85.53241;14.00463
08/17/17;11:27:25;1176;1176.837;1269.068;1165.48;1.417824;30.93171;46.01521;42.15857;85.53241;14.00463
08/17/17;11:27:26;1176;1176.837;1269.068;1165.625;1.420718;30.93171;46.01521;42.15857;85.53241;14.00463
08/17/17;11:27:27;1176;1176.874;1269.213;1165.48;1.414931;30.93171;46.01521;42.15857;85.53241;14.00463
08/17/17;11:27:28;1176;1176.874;1269.213;1165.625;1.409143;30.93171;46.01521;42.15857;85.53241;14.00463
08/17/17;11:27:29;1176;1176.837;1269.213;1165.625;1.40625;30.93171;46.01521;42.15857;85.53241;14.00463
08/17/17;11:27:30;1176;1176.874;1269.068;1165.48;1.414931;30.93171;46.01521;42.15857;85.53241;14.00463
08/17/17;11:27:31;1176;1176.946;1269.213;1165.625;1.409143;30.93171;46.01521;42.21644;85.53241;14.00463
08/17/17;11:27:32;1176;1176.874;1269.068;1165.625;1.409143;30.93171;46.01521;42.15857;85.53241;14.00463
08/17/17;11:27:33;1176;1176.874;1269.213;1165.48;1.409143;30.93171;46.01521;42.15857;85.53241;14.00463
08/17/17;11:27:34;1176;1176.874;1269.213;1165.625;1.417824;30.93171;46.01521;42.15857;85.53241;14.00463
08/17/17;11:27:35;1176;1176.946;1269.068;1165.625;1.417824;30.93171;46.01521;42.15857;85.53241;14.00463
08/17/17;11:27:36;1176;1176.874;1269.068;1165.625;1.40625;30.93171;46.01521;42.15857;85.53241;14.00463
08/17/17;11:27:37;1176;1176.874;1269.213;1165.625;1.414931;30.93171;46.01521;42.15857;85.53241;14.00463
08/17/17;11:27:38;1176;1176.946;1269.213;1165.48;1.331018;30.23727;46.01521;42.15857;85.53241;14.00463
08/17/17;11:27:39;1176;1176.946;1269.213;1165.625;1.333912;30.23727;46.01521;42.15857;85.53241;14.00463
08/17/17;11:27:40;1176;1176.946;1269.068;1165.625;1.328125;30.23727;46.01521;42.15857;85.53241;14.00463
08/17/17;11:27:41;1176;1176.874;1269.068;1165.625;1.328125;30.23727;46.01521;42.15857;85.53241;14.00463
08/17/17;11:27:42;1176;1176.946;1269.068;1165.48;1.333912;30.23727;46.01521;42.15857;85.53241;14.00463
08/17/17;11:27:43;1176;1176.874;1269.213;1165.48;1.328125;30.23727;46.01521;42.15857;85.53241;14.03357
08/17/17;11:27:44;1176;1176.91;1269.213;1165.625;1.322338;30.23727;46.01521;42.15857;85.53241;14.00463
08/17/17;11:27:45;1176;1176.837;1269.068;1165.625;1.319444;30.23727;46.01521;42.15857;85.53241;14.00463
08/17/17;11:27:46;1176;1176.946;1269.068;1165.625;1.333912;30.23727;46.01521;42.15857;85.53241;14.00463
08/17/17;11:27:47;1176;1177.018;1269.068;1165.48;1.331018;30.23727;46.01521;42.21644;85.53241;14.03357
08/17/17;11:27:48;1176;1177.018;1269.068;1165.625;1.333912;30.23727;46.01521;42.15857;85.53241;14.03357
08/17/17;11:27:49;1176;1176.91;1269.068;1165.48;1.328125;30.23727;46.01521;42.15857;85.53241;14.00463
08/17/17;11:27:50;1176;1177.018;1269.213;1165.48;1.287616;29.91898;46.01521;42.15857;85.53241;14.00463
08/17/17;11:27:51;1176;1177.018;1269.068;1165.48;1.284722;29.91898;46.01521;42.15857;85.53241;14.00463
08/17/17;11:27:52;1176;1177.018;1269.213;1165.48;1.278935;29.94792;46.01521;42.15857;85.53241;14.00463
08/17/17;11:27:53;1176;1177.018;1269.213;1165.48;1.284722;29.91898;46.01521;42.15857;85.53241;14.00463
08/17/17;11:27:54;1176;1176.982;1269.068;1165.48;1.287616;29.94792;46.01521;42.15857;85.53241;14.00463
08/17/17;11:27:55;1176;1177.018;1269.068;1165.48;1.278935;29.94792;46.01521;42.15857;85.53241;14.00463
08/17/17;11:27:56;1176;1177.018;1269.068;1165.48;1.287616;29.94792;46.01521;42.15857;85.53241;14.00463
