$Date;$Time;FH11_Z3_TEMP_SP;FH11_Z3_TEMP_PV;FH11_Z2C_TEMP_PV;FH11_Z4_TEMP_PV;FH11_Z3_WG_DMP_POS_PV;FH11_Z3_CLN_VLV_POS_PV;FH11_Z3_MIX_VLV_POS_PV;FH11_Z3_MIX_PRES_PV;FH11_Z4_MIX_PRES_LL;FH11_Z4_MIX_PRES_HL;FH11_PULL
08/17/17;10:37:19;1162;1158.391;1165.48;1156.8;3.472222;7.8125;23.20602;0.7349537;0.6;6;46.01521
08/17/17;10:37:20;1162;1158.391;1165.48;1156.655;3.472222;7.8125;23.20602;0.7349537;0.6;6;46.01521
08/17/17;10:37:21;1162;1158.391;1165.48;1156.8;3.472222;7.407407;23.20602;0.7262731;0.6;6;46.01521
08/17/17;10:37:22;1162;1158.391;1165.48;1156.655;3.472222;7.407407;23.20602;0.7378472;0.6;6;46.01521
08/17/17;10:37:23;1162;1158.247;1165.48;1156.8;2.149471;6.915509;23.20602;0.7291667;0.6;6;46.01521
08/17/17;10:37:24;1162;1158.391;1165.48;1156.8;0.1653439;6.799768;23.20602;0.7349537;0.6;6;46.01521
08/17/17;10:37:25;1162;1158.247;1165.336;1156.655;0.1653439;6.105324;23.20602;0.7378472;0.6;6;46.01521
08/17/17;10:37:26;1162;1158.247;1165.48;1156.8;0.1653439;6.105324;23.20602;0.7349537;0.6;6;46.01521
08/17/17;10:37:27;1162;1158.247;1165.48;1156.655;0.1653439;6.105324;23.20602;0.7349537;0.6;6;46.01521
08/17/17;10:37:28;1162;1158.247;1165.48;1156.8;0.1653439;6.105324;23.20602;0.7291667;0.6;6;46.01521
08/17/17;10:37:29;1162;1158.247;1165.48;1156.655;0.1653439;5.844907;23.20602;0.7407407;0.6;6;46.01521
08/17/17;10:37:30;1162;1158.247;1165.336;1156.8;0.1653439;5.844907;23.20602;0.7291667;0.6;6;46.01521
08/17/17;10:37:31;1162;1158.247;1165.48;1156.655;0.1653439;5.844907;23.20602;0.7378472;0.6;6;46.01521
08/17/17;10:37:32;1162;1158.247;1165.48;1156.8;0.1653439;5.844907;23.20602;0.7262731;0.6;6;46.01521
08/17/17;10:37:33;1162;1158.247;1165.48;1156.8;1.653439;5.844907;23.75579;0.7349537;0.6;6;46.01521
08/17/17;10:37:34;1162;1158.247;1165.48;1156.8;6.283069;5.844907;25.43403;0.8362268;0.6;6;46.01521
08/17/17;10:37:35;1162;1158.247;1165.48;1156.8;10.41667;5.844907;26.93866;1.009838;0.6;6;46.01521
08/17/17;10:37:36;1162;1158.247;1165.48;1156.8;14.55026;5.844907;28.53009;1.203704;0.6;6;46.01521
08/17/17;10:37:37;1162;1158.247;1165.48;1156.8;17.85714;5.844907;30.15046;1.446759;0.6;6;46.01521
08/17/17;10:37:38;1162;1158.247;1165.48;1156.8;17.93981;5.844907;31.68403;1.695602;0.6;6;46.01521
08/17/17;10:37:39;1162;1158.247;1165.48;1156.8;17.93981;5.844907;31.68403;1.695602;0.6;6;46.01521
08/17/17;10:37:40;1162;1158.247;1165.48;1156.8;18.10516;5.844907;34.78009;2.204861;0.6;6;46.01521
08/17/17;10:37:41;1162;1158.247;1165.48;1156.8;18.10516;5.844907;36.16898;2.447917;0.6;6;46.01521
08/17/17;10:37:42;1162;1158.247;1165.48;1156.8;18.10516;5.844907;36.77662;2.581018;0.6;6;46.01521
08/17/17;10:37:43;1162;1158.247;1165.48;1156.8;18.10516;5.844907;36.77662;2.581018;0.6;6;46.01521
08/17/17;10:37:44;1162;1158.102;1165.48;1156.8;19.09722;5.844907;37.21065;2.653356;0.6;6;46.01521
08/17/17;10:37:45;1162;1158.102;1165.48;1156.8;19.09722;5.844907;37.21065;2.664931;0.6;6;46.01521
08/17/17;10:37:46;1162;1158.102;1165.336;1156.8;19.09722;5.844907;37.21065;2.664931;0.6;6;46.01521
08/17/17;10:37:47;1162;1158.247;1165.336;1156.8;19.09722;5.844907;37.21065;2.676505;0.6;6;46.01521
08/17/17;10:37:48;1162;1158.247;1165.48;1156.8;19.09722;5.844907;37.21065;2.667824;0.6;6;46.01521
08/17/17;10:37:49;1162;1158.247;1165.48;1156.8;19.42791;5.815972;37.47106;2.690972;0.6;6;46.01521
08/17/17;10:37:50;1162;1158.102;1165.336;1156.8;20.66799;5.844907;38.31018;2.853009;0.6;6;46.01521
08/17/17;10:37:51;1162;1158.102;1165.336;1156.8;20.75066;5.844907;38.31018;2.864583;0.6;6;46.01521
08/17/17;10:37:52;1162;1158.247;1165.48;1156.8;20.75066;5.844907;38.31018;2.847222;0.6;6;46.01521
08/17/17;10:37:53;1162;1158.247;1165.48;1156.8;20.75066;5.844907;38.31018;2.855903;0.6;6;46.01521
08/17/17;10:37:54;1162;1158.102;1165.48;1156.8;20.75066;5.844907;38.31018;2.867477;0.6;6;46.01521
08/17/17;10:37:55;1162;1158.102;1165.48;1156.8;20.75066;5.844907;38.31018;2.847222;0.6;6;46.01521
08/17/17;10:37:56;1162;1158.247;1165.48;1156.655;20.66799;5.844907;38.31018;2.835648;0.6;6;46.01521
08/17/17;10:37:57;1162;1158.102;1165.48;1156.8;21.24669;5.844907;38.31018;2.87037;0.6;6;46.01521
08/17/17;10:37:58;1162;1158.247;1165.48;1156.8;21.57738;5.844907;38.31018;2.87037;0.6;6;46.01521
08/17/17;10:37:59;1162;1158.247;1165.48;1156.8;21.57738;5.844907;38.54166;2.91088;0.6;6;46.01521
08/17/17;10:38:00;1162;1158.247;1165.48;1156.8;21.66005;5.844907;38.74421;2.948495;0.6;6;46.01521
08/17/17;10:38:01;1162;1158.247;1165.48;1156.8;21.57738;5.844907;38.74421;2.936921;0.6;6;46.01521
08/17/17;10:38:02;1162;1158.247;1165.48;1156.655;21.57738;5.844907;38.68634;2.942708;0.6;6;46.01521
08/17/17;10:38:03;1162;1158.247;1165.48;1156.8;21.57738;5.844907;38.68634;2.925347;0.6;6;46.01521
08/17/17;10:38:04;1162;1158.247;1165.48;1156.8;21.66005;5.844907;38.68634;2.925347;0.6;6;46.01521
08/17/17;10:38:05;1162;1158.247;1165.336;1156.8;21.57738;5.844907;38.68634;2.939815;0.6;6;46.01521
08/17/17;10:38:06;1162;1158.247;1165.336;1156.8;21.57738;5.844907;38.68634;2.936921;0.6;6;46.01521
08/17/17;10:38:07;1162;1158.247;1165.48;1156.8;21.57738;5.844907;38.68634;2.928241;0.6;6;46.01521
08/17/17;10:38:08;1162;1158.247;1165.48;1156.8;21.57738;5.844907;38.68634;2.936921;0.6;6;46.01521
08/17/17;10:38:09;1162;1158.247;1165.48;1156.655;21.57738;5.844907;38.68634;2.948495;0.6;6;46.01521
08/17/17;10:38:10;1162;1158.247;1165.48;1156.655;21.57738;5.844907;38.68634;2.928241;0.6;6;46.01521
08/17/17;10:38:11;1162;1158.247;1165.48;1156.8;21.57738;5.844907;38.68634;2.925347;0.6;6;46.01521
08/17/17;10:38:12;1162;1158.247;1165.48;1156.655;21.57738;5.815972;38.68634;2.925347;0.6;6;46.01521
08/17/17;10:38:13;1162;1158.391;1165.48;1156.8;21.57738;5.844907;38.68634;2.913773;0.6;6;46.01521
08/17/17;10:38:14;1162;1158.391;1165.48;1156.655;21.57738;5.844907;38.68634;2.922453;0.6;6;46.01521
08/17/17;10:38:15;1162;1158.391;1165.48;1156.655;21.57738;5.844907;38.62847;2.922453;0.6;6;46.01521
08/17/17;10:38:16;1162;1158.391;1165.48;1156.655;21.66005;5.844907;38.62847;2.925347;0.6;6;46.01521
08/17/17;10:38:17;1162;1158.391;1165.48;1156.8;21.57738;5.844907;38.62847;2.922453;0.6;6;46.01521
08/17/17;10:38:18;1162;1158.391;1165.48;1156.655;21.66005;5.844907;38.62847;2.934028;0.6;6;46.01521
08/17/17;10:38:19;1162;1158.536;1165.48;1156.655;21.57738;5.844907;38.62847;2.934028;0.6;6;46.01521
08/17/17;10:38:20;1162;1158.391;1165.336;1156.8;21.57738;5.844907;38.62847;2.928241;0.6;6;46.01521
08/17/17;10:38:21;1162;1158.536;1165.48;1156.655;21.08135;5.815972;38.45486;2.922453;0.6;6;46.01521
08/17/17;10:38:22;1162;1158.536;1165.48;1156.655;19.34524;5.844907;38.10764;2.91088;0.6;6;46.01521
08/17/17;10:38:23;1162;1158.536;1165.48;1156.655;19.34524;5.844907;37.90509;2.91956;0.6;6;46.01521
08/17/17;10:38:24;1162;1158.536;1165.48;1156.655;19.34524;5.815972;37.78935;2.925347;0.6;6;46.01521
08/17/17;10:38:25;1162;1158.536;1165.48;1156.655;19.34524;5.844907;37.78935;2.913773;0.6;6;46.01521
08/17/17;10:38:26;1162;1158.536;1165.48;1156.655;20.17196;5.844907;37.78935;2.913773;0.6;6;46.01521
08/17/17;10:38:27;1162;1158.536;1165.48;1156.8;20.17196;5.815972;37.78935;2.907986;0.6;6;46.01521
08/17/17;10:38:28;1162;1158.536;1165.48;1156.655;20.17196;5.844907;37.78935;2.91088;0.6;6;46.01521
08/17/17;10:38:29;1162;1158.825;1165.48;1156.655;20.17196;5.844907;37.78935;2.905092;0.6;6;46.01521
08/17/17;10:38:30;1162;1158.825;1165.48;1156.655;20.17196;5.844907;37.78935;2.905092;0.6;6;46.01521
08/17/17;10:38:31;1162;1158.825;1165.48;1156.655;19.51058;5.844907;37.47106;2.899306;0.6;6;46.01521
08/17/17;10:38:32;1162;1158.825;1165.48;1156.655;17.44378;5.844907;36.48727;2.708333;0.6;6;46.01521
08/17/17;10:38:33;1162;1158.825;1165.48;1156.8;17.44378;5.844907;36.31366;2.696759;0.6;6;46.01521
08/17/17;10:38:34;1162;1158.825;1165.48;1156.655;17.44378;5.844907;36.16898;2.662037;0.6;6;46.01521
08/17/17;10:38:35;1162;1158.825;1165.48;1156.366;18.35317;5.844907;36.19791;2.659143;0.6;6;46.01521
08/17/17;10:38:36;1162;1158.97;1165.48;1156.655;18.35317;5.844907;36.16898;2.647569;0.6;6;46.01521
08/17/17;10:38:37;1162;1158.97;1165.48;1156.655;18.35317;5.844907;36.16898;2.647569;0.6;6;46.01521
08/17/17;10:38:38;1162;1158.97;1165.48;1156.655;18.35317;5.844907;36.16898;2.644676;0.6;6;46.01521
08/17/17;10:38:39;1162;1158.97;1165.48;1156.655;18.35317;5.844907;36.05324;2.604167;0.6;6;46.01521
