nr;FH11_PULL
712;55.425020
713;55.425020
714;55.425020
715;55.425020
716;55.425020
717;55.425020
718;55.425020
719;55.425020
720;55.425020
721;55.425020
722;55.425020
723;55.425020
724;55.425020
725;55.425020
726;55.425020
727;55.425020
728;55.425020
729;55.425020
730;55.425020
731;55.425020
732;55.425020
733;55.425020
734;55.425020
735;55.425020
736;55.425020
737;55.425020
738;55.425020
739;55.425020
740;55.425020
741;55.425020
742;55.425020
743;55.425020
744;55.425020
745;55.425020
746;55.425020
747;55.425020
748;55.425020
749;55.425020
750;55.425020
751;55.425020
752;55.425020
753;55.425020
754;55.425020
755;55.425020
756;55.425020
757;55.425020
758;55.425020
759;55.425020
760;55.425020
761;55.425020
762;55.425020
763;55.425020
764;55.425020
765;55.425020
766;55.425020
767;55.425020
768;55.425020
769;55.425020
770;55.425020
771;55.425020
772;55.425020
773;55.425020
774;55.425020
775;55.425020
776;55.425020
777;55.425020
778;55.425020
779;55.425020
780;55.425020
781;55.425020
782;55.425020
783;55.425020
784;55.425020
785;55.425020
786;55.425020
787;55.425020
788;55.425020
789;55.425020
790;55.425020
791;55.425020
792;55.425020
793;55.425020
794;55.425020
795;55.425020
796;55.425020
797;55.425020
798;55.425020
799;55.425020
800;55.425020
801;55.425020
802;55.425020
803;55.425020
804;55.425020
805;55.425020
806;55.425020
807;55.425020
808;55.425020
809;55.425020
810;55.425020
811;55.425020
812;55.425020
813;55.425020
814;55.425020
815;55.425020
816;55.425020
817;55.425020
818;55.425020
819;55.425020
820;55.425020
821;55.425020
822;55.425020
823;55.425020
824;55.425020
825;55.425020
826;55.425020
827;55.425020
828;55.425020
829;55.425020
830;55.425020
831;55.425020
832;55.425020
833;55.425020
834;55.425020
835;55.425020
836;55.425020
837;55.425020
838;55.425020
839;55.425020
840;55.425020
841;55.425020
842;55.425020
843;55.425020
844;55.425020
845;55.425020
846;55.425020
847;55.425020
848;55.425020
849;55.425020
850;55.425020
851;55.425020
852;55.425020
853;55.425020
854;55.425020
855;55.425020
856;55.425020
857;55.425020
858;55.425020
859;55.425020
860;55.425020
861;55.425020
862;55.425020
863;55.425020
864;55.425020
865;55.425020
866;55.425020
867;55.425020
868;55.425020
869;55.425020
870;55.425020
871;55.425020
872;55.425020
873;55.425020
874;55.425020
875;55.425020
876;55.425020
877;55.425020
878;55.425020
879;55.425020
880;55.425020
881;55.425020
882;55.425020
883;55.425020
884;55.425020
885;55.425020
886;55.425020
887;55.425020
888;55.425020
889;55.425020
890;55.425020
891;55.425020
892;55.425020
893;55.425020
894;55.425020
895;55.425020
896;55.425020
897;55.425020
898;55.425020
899;55.425020
900;55.425020
901;55.425020
902;55.425020
903;55.425020
904;55.425020
905;55.425020
906;55.425020
907;55.425020
908;55.425020
909;55.425020
910;55.425020
911;55.425020
912;55.425020
913;55.425020
914;55.425020
915;55.425020
916;55.425020
917;55.425020
918;55.425020
919;55.425020
920;55.425020
921;55.425020
922;55.425020
923;55.425020
924;55.425020
925;55.425020
926;55.425020
927;55.425020
928;55.425020
929;55.425020
930;55.425020
931;55.425020
932;55.425020
933;55.425020
934;55.425020
935;55.425020
936;55.425020
937;55.425020
938;55.425020
939;55.425020
940;55.425020
941;55.425020
942;55.425020
943;55.425020
944;55.425020
945;55.425020
946;55.425020
947;55.425020
948;55.425020
949;55.425020
950;55.425020
951;55.425020
952;55.425020
953;55.425020
954;55.425020
955;55.425020
956;55.425020
957;55.425020
958;55.425020
959;55.425020
960;55.425020
961;55.425020
962;55.425020
963;55.425020
964;55.425020
965;55.425020
966;55.425020
967;55.425020
968;55.425020
969;55.425020
970;55.425020
971;55.425020
972;55.425020
973;55.425020
974;55.425020
975;55.425020
976;55.425020
977;55.425020
978;55.425020
979;55.425020
980;55.425020
981;55.425020
982;55.425020
983;55.425020
984;55.425020
985;55.425020
986;55.425020
987;55.425020
988;55.425020
989;55.425020
990;55.425020
991;55.425020
992;55.425020
993;55.425020
994;55.425020
995;55.425020
996;55.425020
997;55.425020
998;55.425020
999;55.425020
1000;55.425020
1001;55.425020
1002;55.425020
1003;55.425020
1004;55.425020
1005;55.425020
1006;55.425020
1007;55.425020
1008;55.425020
1009;55.425020
1010;55.425020
1011;55.425020
1012;55.425020
1013;55.425020
1014;55.425020
1015;55.425020
1016;55.425020
1017;55.425020
1018;55.425020
1019;55.425020
1020;55.425020
1021;55.425020
1022;55.425020
1023;55.425020
1024;55.425020
1025;55.425020
1026;55.425020
1027;55.425020
1028;55.425020
1029;55.425020
1030;55.425020
1031;55.425020
1032;55.425020
1033;55.425020
1034;55.425020
1035;55.425020
1036;55.425020
1037;55.425020
1038;55.425020
1039;55.425020
1040;55.425020
1041;55.425020
1042;55.425020
1043;55.425020
1044;55.425020
1045;55.425020
1046;55.425020
1047;55.425020
1048;55.425020
1049;55.425020
1050;55.425020
1051;55.425020
1052;55.425020
1053;55.425020
1054;55.425020
1055;55.425020
1056;55.425020
1057;55.425020
1058;55.425020
1059;55.425020
1060;55.425020
1061;55.425020
1062;55.425020
1063;55.425020
1064;55.425020
1065;55.425020
1066;55.425020
1067;55.425020
1068;55.425020
1069;55.425020
1070;55.425020
1071;55.425020
1072;55.425020
1073;55.425020
1074;55.425020
1075;55.425020
1076;55.425020
1077;55.425020
1078;55.425020
1079;55.425020
1080;55.425020
1081;55.425020
1082;55.425020
1083;55.425020
1084;55.425020
1085;55.425020
1086;55.425020
1087;55.425020
1088;55.425020
1089;55.425020
1090;55.425020
1091;55.425020
1092;55.425020
1093;55.425020
1094;55.425020
1095;55.425020
1096;55.425020
1097;55.425020
1098;55.425020
1099;55.425020
1100;55.425020
1101;55.425020
1102;55.425020
1103;55.425020
1104;55.425020
1105;55.425020
1106;55.425020
1107;55.425020
1108;55.425020
1109;55.425020
1110;55.425020
1111;55.425020
1112;55.425020
1113;55.425020
1114;55.425020
1115;55.425020
1116;55.425020
1117;55.425020
1118;55.425020
1119;55.425020
1120;55.425020
1121;55.425020
1122;55.425020
1123;55.425020
1124;55.425020
1125;55.425020
1126;55.425020
1127;55.425020
1128;55.425020
1129;55.425020
1130;55.425020
1131;55.425020
1132;55.425020
1133;55.425020
1134;55.425020
1135;55.425020
1136;55.425020
1137;55.425020
1138;55.425020
1139;55.425020
1140;55.425020
1141;55.425020
1142;55.425020
1143;55.425020
1144;55.425020
1145;55.425020
1146;55.425020
1147;55.425020
1148;55.425020
1149;55.425020
1150;55.425020
1151;55.425020
1152;55.425020
1153;55.425020
1154;55.425020
1155;55.425020
1156;55.425020
1157;55.425020
1158;55.425020
1159;55.425020
1160;55.425020
1161;55.425020
1162;55.425020
1163;55.425020
1164;55.425020
1165;55.425020
1166;55.425020
1167;55.425020
1168;55.425020
1169;55.425020
1170;55.425020
1171;55.425020
1172;55.425020
1173;55.425020
1174;55.425020
1175;55.425020
1176;55.425020
1177;55.425020
1178;55.425020
1179;55.425020
1180;55.425020
1181;55.425020
1182;55.425020
1183;55.425020
1184;55.425020
1185;55.425020
1186;55.425020
1187;55.425020
1188;55.425020
1189;55.425020
1190;55.425020
1191;55.425020
1192;55.425020
1193;55.425020
1194;55.425020
1195;55.425020
1196;55.425020
1197;55.425020
1198;55.425020
1199;55.425020
1200;55.425020
1201;55.425020
1202;55.425020
1203;55.425020
1204;55.425020
1205;55.425020
1206;55.425020
1207;55.425020
1208;55.425020
1209;55.425020
1210;55.425020
1211;55.425020
1212;55.425020
1213;55.425020
1214;55.425020
1215;55.425020
1216;55.425020
1217;55.425020
1218;55.425020
1219;55.425020
1220;55.425020
1221;55.425020
1222;55.425020
1223;55.425020
1224;55.425020
1225;55.425020
1226;55.425020
1227;55.425020
1228;55.425020
1229;55.425020
1230;55.425020
1231;55.425020
1232;55.425020
1233;55.425020
1234;55.425020
1235;55.425020
1236;55.425020
1237;55.425020
1238;55.425020
1239;55.425020
1240;55.425020
1241;55.425020
1242;55.425020
1243;55.425020
1244;55.425020
1245;55.425020
1246;55.425020
1247;55.425020
1248;55.425020
1249;55.425020
1250;55.425020
1251;55.425020
1252;55.425020
1253;55.425020
1254;55.425020
1255;55.425020
1256;55.425020
1257;55.425020
1258;55.425020
1259;55.425020
1260;55.425020
1261;55.425020
1262;55.425020
1263;55.425020
1264;55.425020
1265;55.425020
1266;55.425020
1267;55.425020
1268;55.425020
1269;55.425020
1270;55.425020
1271;55.425020
1272;55.425020
1273;55.425020
1274;55.425020
1275;55.425020
1276;55.425020
1277;55.425020
1278;55.425020
1279;55.425020
1280;55.425020
1281;55.425020
1282;55.425020
1283;55.425020
1284;55.425020
1285;55.425020
1286;55.425020
1287;55.425020
1288;55.425020
1289;55.425020
1290;55.425020
1291;55.425020
1292;55.425020
1293;55.425020
1294;55.425020
1295;55.425020
1296;55.425020
1297;55.425020
1298;55.425020
1299;55.425020
1300;55.425020
1301;55.425020
1302;55.425020
1303;55.425020
1304;55.425020
1305;55.425020
1306;55.425020
1307;55.425020
1308;55.425020
1309;55.425020
1310;55.425020
1311;55.425020
1312;55.425020
1313;55.425020
1314;55.425020
1315;55.425020
1316;55.425020
1317;55.425020
1318;55.425020
1319;55.425020
1320;55.425020
1321;55.425020
1322;55.425020
1323;55.425020
1324;55.425020
1325;55.425020
1326;55.425020
1327;55.425020
1328;55.425020
1329;55.425020
1330;55.425020
1331;55.425020
1332;55.425020
1333;55.425020
1334;55.425020
1335;55.425020
1336;55.425020
1337;55.425020
1338;55.425020
1339;55.425020
1340;55.425020
1341;55.425020
1342;55.425020
1343;55.425020
1344;55.425020
1345;55.425020
1346;55.425020
1347;55.425020
1348;55.425020
1349;55.425020
1350;55.425020
1351;55.425020
1352;55.425020
1353;55.425020
1354;55.425020
1355;55.425020
1356;55.425020
1357;55.425020
1358;55.425020
1359;55.425020
1360;55.425020
1361;55.425020
1362;55.425020
1363;55.425020
1364;55.425020
1365;55.425020
1366;55.425020
1367;55.425020
1368;55.425020
1369;55.425020
1370;55.425020
1371;55.425020
